,Unnamed: 0,userid,placeid,frequency,id_x,created_at,lng,lat,photos_count_x,checkins_count,users_count,radius_meters,highlights_count_x,items_count_x,max_items_count,spot_categories,state,id_y,bookmarked_spots_count,challenge_pin_count,country_pin_count,highlights_count_y,items_count_y,photos_count_y,pins_count,province_pin_count,region_pin_count,state_pin_count,trips_count,friends_count,stamps_count,checkin_num,places_num,ts,cluster
22,25,37,355356,1,355356,2010-01-10T01:27:42Z,0.46783813332186974,0.4937781510607324,7,0.017350035011281413,233,300,0,8,10,"[{'url': '/categories/11', 'name': 'Mall'}]",California,37,0,5,1,0,3,2,8,0,3,2,0,0.005333333333333334,22,0.5555555555555556,25,0.4362748997671062,1
21,24,37,355154,1,355154,2010-01-10T01:02:07Z,0.46785483987604515,0.49377089397326257,2,0.0034622267174978603,67,50,0,3,10,"[{'url': '/categories/236', 'name': 'Fine Dining'}]",California,37,0,5,1,0,3,2,8,0,3,2,0,0.005333333333333334,22,0.5555555555555556,25,0.4362549792007222,1
14,17,37,44243,1,44243,2009-10-11T18:34:23Z,0.4674797019245316,0.49429388769124216,0,0.002217381156150315,37,75,0,3,10,"[{'url': '/categories/54', 'name': 'Other - Shopping'}]",California,37,0,5,1,0,3,2,8,0,3,2,0,0.005333333333333334,22,0.5555555555555556,25,0.3350395028075823,1
10,13,37,10817,1,10817,2009-04-08T23:18:37Z,0.01744345506276801,0.06443533967578052,40,0.01229284991830701,233,150,2,10,10,"[{'url': '/categories/214', 'name': 'Garden'}]",Hawaii,37,0,5,1,0,3,2,8,0,3,2,0,0.005333333333333334,22,0.5555555555555556,25,0.12670611864544057,2
16,19,37,62846,1,62846,2009-10-25T21:12:07Z,0.4667007290883627,0.49414345066364396,12,0.028748152182369875,239,50,1,10,10,"[{'url': '/categories/230', 'name': 'Apple Store'}]",California,37,0,5,1,0,3,2,8,0,3,2,0,0.005333333333333334,22,0.5555555555555556,25,0.35085998837054433,1
27,30,37,890923,1,890923,2010-04-07T16:57:59Z,0.46669954838658945,0.493685770041679,0,0.00031121139033688633,6,75,0,1,10,"[{'url': '/categories/192', 'name': ""Doctor's Office""}]",California,37,0,5,1,0,3,2,8,0,3,2,0,0.005333333333333334,22,0.5555555555555556,25,0.5345490493788922,1
20,23,37,308219,1,308219,2010-01-01T19:49:24Z,0.4671439333366916,0.4949569454491076,0,0.0012059441375554345,15,75,0,2,10,"[{'url': '/categories/106', 'name': 'Grocery'}]",California,37,0,5,1,0,3,2,8,0,3,2,0,0.005333333333333334,22,0.5555555555555556,25,0.4270413863198428,1
26,29,37,865760,1,865760,2010-04-03T21:51:28Z,0.46691444795614956,0.49393893322662286,2,0.0024896911226950907,45,75,0,1,10,"[{'url': '/categories/16', 'name': 'American'}]",California,37,0,5,1,0,3,2,8,0,3,2,0,0.005333333333333334,22,0.5555555555555556,25,0.5302925239788472,1
32,35,37,1270165,2,1270165,2010-06-13T06:38:46Z,0.4668022948127726,0.495362046281941,0,0.00011670427137633238,2,75,0,0,10,"[{'url': '/categories/112', 'name': 'Music'}]",California,37,0,5,1,0,3,2,8,0,3,2,0,0.005333333333333334,22,0.5555555555555556,25,0.6091914375773406,6
12,15,37,39911,1,39911,2009-10-07T23:46:36Z,0.4654899187987491,0.49403598265486415,3,0.01132031432350424,114,50,0,8,10,"[{'url': '/categories/438', 'name': 'Target'}]",California,37,0,5,1,0,3,2,8,0,3,2,0,0.005333333333333334,22,0.5555555555555556,25,0.3307975641936025,1
33,36,37,1279368,1,1279368,2010-06-15T04:23:25Z,0.46673069861339456,0.4941824889781443,0,0.00023340854275266475,6,75,0,0,10,"[{'url': '/categories/160', 'name': 'Indian'}]",California,37,0,5,1,0,3,2,8,0,3,2,0,0.005333333333333334,22,0.5555555555555556,25,0.6113285704448721,6
37,44,53,17579,1,17579,2009-07-13T15:31:39Z,0.4661915256918223,0.48107822703780734,36,0.012137244223138567,281,150,2,10,10,"[{'url': '/categories/76', 'name': 'Aquarium'}]",California,53,0,4,1,0,4,1,6,0,2,1,0,0.104,5,0.04444444444444444,5,0.2339836504968673,5
40,47,53,644423,2,644423,2010-03-04T18:51:18Z,0.4641951648283831,0.4858287326984778,0,0.0020228740371897613,39,75,0,2,10,"[{'url': '/categories/433', 'name': 'Starbucks'}]",California,53,0,4,1,0,4,1,6,0,2,1,0,0.104,5,0.04444444444444444,5,0.4965143810526911,5
39,46,53,290022,2,290022,2009-12-29T17:17:37Z,0.46519533341629815,0.49454213415123616,5,0.0062631292305298375,60,50,0,7,10,"[{'url': '/categories/58', 'name': 'Other - Entertainment'}]",California,53,0,4,1,0,4,1,6,0,2,1,0,0.104,5,0.04444444444444444,5,0.4235594140690502,5
41,48,53,1541920,1,1541920,2010-08-01T17:14:05Z,0.464209518128075,0.4857227242934705,1,0.0023340854275266474,18,75,0,0,10,"[{'url': '/categories/119', 'name': 'Gas & Automotive'}]",California,53,0,4,1,0,4,1,6,0,2,1,0,0.104,5,0.04444444444444444,5,0.6646279599982563,5
50,57,81,9253,1,9253,2009-02-26T05:38:44Z,0.69660717057626,0.3620828598125547,34,0.04889908970668327,915,50,7,10,10,"[{'url': '/categories/155', 'name': 'Pizza'}]",Texas,81,0,16,1,0,8,2,20,0,4,3,0,0.021333333333333333,30,0.6222222222222222,30,0.07990910044406618,4
51,58,81,9254,1,9254,2009-02-26T16:38:12Z,0.696614360738232,0.3619089264214297,99,0.07336808527192096,1486,60,10,10,10,"[{'url': '/categories/17', 'name': 'BBQ'}]",Texas,81,0,16,1,0,8,2,20,0,4,3,0,0.021333333333333333,30,0.6222222222222222,30,0.08042259684192032,4
46,53,81,9246,1,9246,2009-02-25T23:03:57Z,0.6966090436431345,0.3619568871873593,555,0.6738893643507352,6511,500,15,12,10,"[{'url': '/categories/243', 'name': 'Convention Center'}]",Texas,81,0,16,1,0,8,2,20,0,4,3,0,0.021333333333333333,30,0.6222222222222222,30,0.07960170079849149,4
58,65,81,125050,1,125050,2009-11-23T17:21:45Z,0.019225245675650093,0.05757274989423211,1,0.0017116626468528747,32,75,0,5,10,"[{'url': '/categories/1', 'name': 'Coffee Shop'}]",Hawaii,81,0,16,1,0,8,2,20,0,4,3,0,0.021333333333333333,30,0.6222222222222222,30,0.38319720600235385,2
56,63,81,47667,1,47667,2009-10-14T18:47:21Z,0.019129878526013222,0.05765562991306428,0,0.003773438107834747,31,100,0,5,10,"[{'url': '/categories/68', 'name': 'Contemporary Church'}]",Hawaii,81,0,16,1,0,8,2,20,0,4,3,0,0.021333333333333333,30,0.6222222222222222,30,0.33841338489719064,2
68,75,81,7040412,1,7040412,2011-03-08T19:22:53Z,0.6966074726840383,0.3619499455416395,2,0.008130397572551155,185,100,0,2,10,"[{'url': '/categories/373', 'name': 'Meet Up'}]",Texas,81,0,16,1,0,8,2,20,0,4,3,0,0.021333333333333333,30,0.6222222222222222,30,0.9102845952041001,6
54,61,81,17696,1,17696,2009-07-14T22:50:15Z,0.4187253357291736,0.6173138862557064,31,0.021473585933245158,242,50,1,10,10,"[{'url': '/categories/1', 'name': 'Coffee Shop'}]",California,81,0,16,1,0,8,2,20,0,4,3,0,0.021333333333333333,30,0.6222222222222222,30,0.23544643001518395,1
57,64,81,85577,2,85577,2009-11-07T20:41:36Z,0.018819736721192637,0.05795671751566145,48,0.00929744028631448,96,50,3,10,10,"[{'url': '/categories/433', 'name': 'Starbucks'}]",Hawaii,81,0,16,1,0,8,2,20,0,4,3,0,0.021333333333333333,30,0.6222222222222222,30,0.3654126304592715,2
48,55,81,9248,1,9248,2009-02-25T23:13:08Z,0.6966133939935664,0.3620124198491803,30,0.05356726056173656,973,150,0,10,10,"[{'url': '/categories/38', 'name': 'City Park'}]",Texas,81,0,16,1,0,8,2,20,0,4,3,0,0.021333333333333333,30,0.6222222222222222,30,0.07960885143828378,4
61,68,81,759363,1,759363,2010-03-21T00:26:38Z,0.6966101916529177,0.3620793736944763,1,0.0066910448922430565,157,100,0,8,10,"[{'url': '/categories/165', 'name': 'Plaza / Square'}]",Texas,81,0,16,1,0,8,2,20,0,4,3,0,0.021333333333333333,30,0.6222222222222222,30,0.5147156792714576,6
49,56,81,9249,1,9249,2009-02-26T00:58:25Z,0.6966104333393657,0.36208104558580345,149,0.12689644440986542,2371,75,13,11,10,"[{'url': '/categories/15', 'name': 'Mexican'}]",Texas,81,0,16,1,0,8,2,20,0,4,3,0,0.021333333333333333,30,0.6222222222222222,30,0.07969083073329841,4
65,72,81,6708957,2,6708957,2011-01-06T06:21:08Z,0.01959070195146695,0.05651931673431476,9,0.0054072979071034,35,75,0,9,10,"[{'url': '/categories/1', 'name': 'Coffee Shop'}]",Hawaii,81,0,16,1,0,8,2,20,0,4,3,0,0.021333333333333333,30,0.6222222222222222,30,0.8412789097057427,2
66,73,81,6745159,1,6745159,2011-01-12T20:05:56Z,0.696519136401625,0.36200674041651326,660,0.21092351980082472,3835,1000,28,10,10,"[{'url': '/categories/370', 'name': 'Party'}]",Texas,81,0,16,1,0,8,2,20,0,4,3,0,0.021333333333333333,30,0.6222222222222222,30,0.8486487146588715,6
59,66,81,128873,2,128873,2009-11-24T21:38:16Z,0.0194948265154411,0.05671913884910096,11,0.008052594724966933,88,50,0,10,10,"[{'url': '/categories/1', 'name': 'Coffee Shop'}]",Hawaii,81,0,16,1,0,8,2,20,0,4,3,0,0.021333333333333333,30,0.6222222222222222,30,0.3845182055937961,2
47,54,81,9247,1,9247,2009-02-25T23:07:47Z,0.6966205237353345,0.3620143129934026,149,0.2666692600949195,3445,75,7,10,10,"[{'url': '/categories/47', 'name': 'Modern Hotel'}]",Texas,81,0,16,1,0,8,2,20,0,4,3,0,0.021333333333333333,30,0.6222222222222222,30,0.0796046856390582,4
64,71,81,6591488,1,6591488,2010-12-16T04:50:00Z,0.019673109228077745,0.05662027467654951,3,0.0011670427137633237,28,75,0,3,10,"[{'url': '/categories/123', 'name': 'Breakfast'}]",Hawaii,81,0,16,1,0,8,2,20,0,4,3,0,0.021333333333333333,30,0.6222222222222222,30,0.8176614495719896,2
70,77,81,7048639,1,7048639,2011-03-10T13:24:27Z,0.6965657818252629,0.3621001343351953,151,0.07150081692989964,1224,300,16,10,10,"[{'url': '/categories/230', 'name': 'Apple Store'}]",Texas,81,0,16,1,0,8,2,20,0,4,3,0,0.021333333333333333,30,0.6222222222222222,30,0.9122480233282673,6
42,49,81,9220,1,9220,2009-02-25T03:55:53Z,0.696608318731341,0.3620811997365456,143,0.16680930522057108,2045,100,26,11,10,"[{'url': '/categories/30', 'name': 'Cineplex'}]",Texas,81,0,16,1,0,8,2,20,0,4,3,0,0.021333333333333333,30,0.6222222222222222,30,0.07870775402660968,4
71,78,81,7072522,1,7072522,2011-03-14T15:45:14Z,0.6966034380644555,0.3619621030782032,15,0.02073445888119505,522,75,1,3,10,"[{'url': '/categories/369', 'name': 'Exhibit'}]",Texas,81,0,16,1,0,8,2,20,0,4,3,0,0.021333333333333333,30,0.6222222222222222,30,0.9168426922317146,6
63,70,81,3142623,1,3142623,2010-09-05T00:53:17Z,0.0196521456935963,0.056442746732009885,1,0.0017894654944370964,22,75,0,1,10,"[{'url': '/categories/18', 'name': 'Asian'}]",Hawaii,81,0,16,1,0,8,2,20,0,4,3,0,0.021333333333333333,30,0.6222222222222222,30,0.7031084207517431,2
69,76,81,7041928,1,7041928,2011-03-09T04:32:56Z,0.6966061434102642,0.3619805517880754,0,0.004668170855053295,116,100,0,1,10,"[{'url': '/categories/373', 'name': 'Meet Up'}]",Texas,81,0,16,1,0,8,2,20,0,4,3,0,0.021333333333333333,30,0.6222222222222222,30,0.9107128938701514,6
45,52,81,9226,1,9226,2009-02-25T05:00:17Z,0.696572669880583,0.3620505980187474,51,0.0504551466583677,762,100,3,10,10,"[{'url': '/categories/121', 'name': 'Corporate Office'}]",Texas,81,0,16,1,0,8,2,20,0,4,3,0,0.021333333333333333,30,0.6222222222222222,30,0.0787578993481155,4
67,74,81,7039899,1,7039899,2011-03-08T17:28:50Z,0.696608560271365,0.3619423728183355,143,0.09328561425348168,1965,300,6,10,10,"[{'url': '/categories/234', 'name': 'Special Event'}]",Texas,81,0,16,1,0,8,2,20,0,4,3,0,0.021333333333333333,30,0.6222222222222222,30,0.9101957897084816,6
44,51,81,9222,1,9222,2009-02-25T04:11:34Z,0.6965854792454309,0.3621118083903099,212,0.17206099743250602,2739,100,22,12,10,"[{'url': '/categories/49', 'name': 'Luxury Hotel'}]",Texas,81,0,16,1,0,8,2,20,0,4,3,0,0.021333333333333333,30,0.6222222222222222,30,0.07871996591779507,4
72,79,93,9220,2,9220,2009-02-25T03:55:53Z,0.696608318731341,0.3620811997365456,143,0.16680930522057108,2045,100,26,11,10,"[{'url': '/categories/30', 'name': 'Cineplex'}]",Texas,93,0,3,1,0,7,0,5,0,2,1,0,0.008,14,0.3111111111111111,14,0.07870775402660968,7
76,83,93,17831,2,17831,2009-07-16T17:31:12Z,0.6965534558333111,0.3620733154021065,445,0.18408153738426827,2237,75,28,10,10,"[{'url': '/categories/187', 'name': 'Hot Dogs & Sausages'}]",Texas,93,0,3,1,0,7,0,5,0,2,1,0,0.008,14,0.3111111111111111,14,0.23744052413177386,7
80,87,93,64951,1,64951,2009-10-27T14:05:55Z,0.6944774655189856,0.34914339251327986,3,0.0025674939702793123,40,250,0,2,10,"[{'url': '/categories/79', 'name': 'Stadium'}]",Texas,93,0,3,1,0,7,0,5,0,2,1,0,0.008,14,0.3111111111111111,14,0.3527706497045351,7
84,91,93,381380,1,381380,2010-01-14T18:26:31Z,0.6926185760619168,0.35965602615949455,10,0.0018283669182292072,36,75,0,4,10,"[{'url': '/categories/101', 'name': 'Sandwich Shop'}]",Texas,93,0,3,1,0,7,0,5,0,2,1,0,0.008,14,0.3111111111111111,14,0.4415532528909303,7
82,89,93,274192,1,274192,2009-12-26T21:21:55Z,0.6966170192857808,0.36253173179150155,46,0.036645141212168365,711,100,0,10,10,"[{'url': '/categories/30', 'name': 'Cineplex'}]",Texas,93,0,3,1,0,7,0,5,0,2,1,0,0.008,14,0.3111111111111111,14,0.4203858537141052,7
73,80,93,10759,1,10759,2009-04-07T03:49:29Z,0.69661460242468,0.36252636871312194,91,0.044386524546798416,817,150,4,10,10,"[{'url': '/categories/73', 'name': 'History Museum'}]",Texas,93,0,3,1,0,7,0,5,0,2,1,0,0.008,14,0.3111111111111111,14,0.12467450638069266,7
79,86,93,20918,1,20918,2009-08-13T22:59:28Z,0.6967034220788633,0.3619893865269428,24,0.023846572784563914,431,50,1,10,10,"[{'url': '/categories/117', 'name': 'Salon & Barbershop'}]",Texas,93,0,3,1,0,7,0,5,0,2,1,0,0.008,14,0.3111111111111111,14,0.2690914620296745,7
81,88,93,180328,3,180328,2009-12-08T03:00:52Z,0.6965935757307378,0.3620944550489431,107,0.04932700536839649,957,50,10,10,10,"[{'url': '/categories/32', 'name': 'Live Music'}]",Texas,93,0,3,1,0,7,0,5,0,2,1,0,0.008,14,0.3111111111111111,14,0.39934580340890236,7
78,85,93,19058,1,19058,2009-07-28T16:41:19Z,0.6963362913390261,0.3646603162354596,0,0.003501128141289971,69,75,0,4,10,"[{'url': '/categories/154', 'name': 'Burgers'}]",Texas,93,0,3,1,0,7,0,5,0,2,1,0,0.008,14,0.3111111111111111,14,0.25085682443954127,7
77,84,93,18556,1,18556,2009-07-23T17:11:06Z,0.696582276904782,0.3621727021317811,8,0.02789232085894344,307,50,5,10,10,"[{'url': '/categories/363', 'name': 'Chipotle'}]",Texas,93,0,3,1,0,7,0,5,0,2,1,0,0.008,14,0.3111111111111111,14,0.24527370611638943,7
85,92,93,651371,1,651371,2010-03-06T00:52:14Z,0.6966061434102642,0.3620834119658578,0,0.011514821442464794,274,75,0,14,10,"[{'url': '/categories/244', 'name': 'Movie Spot'}]",Texas,93,0,3,1,0,7,0,5,0,2,1,0,0.008,14,0.3111111111111111,14,0.49791668510562914,7
86,113,112,11858,1,11858,2009-04-25T17:35:41Z,0.9641835086724992,0.7194120461585176,9,0.006224227806737727,138,75,0,11,10,"[{'url': '/categories/103', 'name': 'Theatre'}]",New York,112,0,9,1,1,6,5,14,0,5,4,0,0.24266666666666664,39,0.9333333333333333,39,0.14550054361733444,0
95,124,112,38943,4,38943,2009-10-06T23:45:03Z,0.822166427145845,0.47360641959037797,7,0.0034622267174978603,60,75,1,6,10,"[{'url': '/categories/61', 'name': 'Sports & Outdoors'}]",Alabama,112,0,9,1,1,6,5,14,0,5,4,0,0.24266666666666664,39,0.9333333333333333,39,0.32967509543249207,4
88,115,112,11975,1,11975,2009-04-26T14:33:18Z,0.9634957907785204,0.7169472250800684,89,0.03610052127907881,828,250,15,10,10,"[{'url': '/categories/63', 'name': 'Monument'}]",New York,112,0,9,1,1,6,5,14,0,5,4,0,0.24266666666666664,39,0.9333333333333333,39,0.1464797919415588,0
89,116,112,11980,1,11980,2009-04-26T14:43:06Z,0.9634832232634397,0.716990324063979,0,0.0012059441375554345,31,75,0,1,10,"[{'url': '/categories/105', 'name': 'Scenic Lookout'}]",New York,112,0,9,1,1,6,5,14,0,5,4,0,0.24266666666666664,39,0.9333333333333333,39,0.14648742275135263,0
94,123,112,26985,3,26985,2009-09-22T15:43:18Z,0.8214394484548848,0.4727576139644536,7,0.00886952462460126,37,150,2,8,10,"[{'url': '/categories/68', 'name': 'Contemporary Church'}]",Alabama,112,0,9,1,1,6,5,14,0,5,4,0,0.24266666666666664,39,0.9333333333333333,39,0.3136023129763146,4
92,119,112,11990,1,11990,2009-04-26T15:08:04Z,0.9634764560305065,0.7169863056096437,0,0.0015949583754765425,41,75,0,0,10,"[{'url': '/categories/54', 'name': 'Other - Shopping'}]",New York,112,0,9,1,1,6,5,14,0,5,4,0,0.24266666666666664,39,0.9333333333333333,39,0.1465068631477351,0
93,122,112,18219,1,18219,2009-07-20T16:03:51Z,0.8280546091667559,0.4748715183729664,4,0.005290593635727068,112,250,0,7,10,"[{'url': '/categories/78', 'name': 'Racetrack'}]",Alabama,112,0,9,1,1,6,5,14,0,5,4,0,0.24266666666666664,39,0.9333333333333333,39,0.24185755608885273,4
100,130,112,7339546,1,7339546,2011-05-06T16:09:14Z,0.8378128104235859,0.4500796935903353,1,0.0,0,75,0,0,10,"[{'url': '/categories/17', 'name': 'BBQ'}]",Alabama,112,0,9,1,1,6,5,14,0,5,4,0,0.24266666666666664,39,0.9333333333333333,39,0.9762882578370693,6
87,114,112,11860,1,11860,2009-04-25T17:42:31Z,0.9641742039058816,0.7194288076375792,0,0.0053683964833112895,53,75,0,7,10,"[{'url': '/categories/121', 'name': 'Corporate Office'}]",New York,112,0,9,1,1,6,5,14,0,5,4,0,0.24266666666666664,39,0.9333333333333333,39,0.1455058644200804,0
98,128,112,4056109,1,4056109,2010-09-19T16:22:53Z,0.8197111509112956,0.4725011552762193,12,0.0031121139033688633,48,250,0,3,10,"[{'url': '/categories/38', 'name': 'City Park'}]",Alabama,112,0,9,1,1,6,5,14,0,5,4,0,0.24266666666666664,39,0.9333333333333333,39,0.7195299234289756,6
91,118,112,11986,1,11986,2009-04-26T14:56:15Z,0.9634754892565562,0.7169705966847335,1,0.0012837469851396562,33,75,0,2,10,"[{'url': '/categories/16', 'name': 'American'}]",New York,112,0,9,1,1,6,5,14,0,5,4,0,0.24266666666666664,39,0.9333333333333333,39,0.14649766205225134,0
97,127,112,912615,1,912615,2010-04-10T15:40:25Z,0.8219220956652575,0.47327533662392884,10,0.0017505640706449855,36,250,1,3,10,"[{'url': '/categories/78', 'name': 'Racetrack'}]",Alabama,112,0,9,1,1,6,5,14,0,5,4,0,0.24266666666666664,39,0.9333333333333333,39,0.5378524373208791,4
105,145,140,10396,1,10396,2009-03-29T03:45:21Z,0.4195011483227411,0.9543758691161219,1,0.003540029565082082,65,75,0,8,10,"[{'url': '/categories/16', 'name': 'American'}]",Washington,140,0,7,4,0,7,12,17,0,10,6,0,0.6053333333333333,34,1.0,34,0.11457993131804045,3
124,168,140,126394,1,126394,2009-11-24T01:55:39Z,0.41875314309102074,0.6181937872243459,2,0.004668170855053295,96,75,1,4,10,"[{'url': '/categories/19', 'name': 'Italian'}]",California,140,0,7,4,0,7,12,17,0,10,6,0,0.6053333333333333,34,1.0,34,0.38359735632411684,1
126,173,140,731182,13,731182,2010-03-17T21:15:29Z,0.419416310403145,0.9539727789303372,27,0.006418734925698281,48,75,0,10,10,"[{'url': '/categories/121', 'name': 'Corporate Office'}]",Washington,140,0,7,4,0,7,12,17,0,10,6,0,0.6053333333333333,34,1.0,34,0.5112030540058115,3
120,164,140,77367,1,77367,2009-11-04T01:52:15Z,0.41875104416276177,0.6180876815455627,3,0.0042791566171321875,86,50,0,9,10,"[{'url': '/categories/18', 'name': 'Asian'}]",California,140,0,7,4,0,7,12,17,0,10,6,0,0.6053333333333333,34,1.0,34,0.36116947195393223,1
123,167,140,85656,1,85656,2009-11-07T21:02:08Z,0.4187538155480799,0.6181883072049632,11,0.009180736014938146,181,50,4,10,10,"[{'url': '/categories/123', 'name': 'Breakfast'}]",California,140,0,7,4,0,7,12,17,0,10,6,0,0.6053333333333333,34,1.0,34,0.3654286188226479,1
115,157,140,35817,1,35817,2009-10-03T19:47:05Z,0.41934932439272643,0.9540367513282615,0,0.0012448455613475453,26,75,0,5,10,"[{'url': '/categories/64', 'name': 'Other - Food '}]",Washington,140,0,7,4,0,7,12,17,0,10,6,0,0.6053333333333333,34,1.0,34,0.32612601617923787,3
107,147,140,10624,2,10624,2009-04-04T18:52:46Z,0.41933390143252014,0.9533668664992103,19,0.010892398661791022,167,75,3,10,10,"[{'url': '/categories/16', 'name': 'American'}]",Washington,140,0,7,4,0,7,12,17,0,10,6,0,0.6053333333333333,34,1.0,34,0.12201406607414356,3
104,144,140,9249,1,9249,2009-02-26T00:58:25Z,0.6966104333393657,0.36208104558580345,149,0.12689644440986542,2371,75,13,11,10,"[{'url': '/categories/15', 'name': 'Mexican'}]",Texas,140,0,7,4,0,7,12,17,0,10,6,0,0.6053333333333333,34,1.0,34,0.07969083073329841,4
